county,population
Albany ,303833
Allegany ,48943
Bronx ,1386657
Broome ,200272
Cattaraugus ,80229
Cayuga ,79978
Chautauqua ,134768
Chemung ,88824
Chenango ,50405
Clinton ,82115
Columbia ,63073
Cortland ,49294
Delaware ,47832
Dutchess ,297577
Erie ,918652
Essex ,39302
Franklin ,51579
Fulton ,55526
Genesee ,60082
Greene ,49159
Hamilton ,4831
Herkimer ,64502
Jefferson ,116582
Kings ,2508340
Lewis ,27072
Livingston ,65333
Madison ,73439
Monroe ,744389
Montgomery ,50250
Nassau ,1341245
New York ,1586698
Niagara ,216546
Oneida ,234845
Onondaga ,467204
Ontario ,108116
Orange ,373355
Orleans ,42854
Oswego ,122114
Otsego ,62232
Putnam ,99713
Queens ,2233841
Rensselaer ,159428
Richmond ,469363
Rockland ,312183
St Lawrence ,111894
Saratoga ,219960
Schenectady ,154889
Schoharie ,32722
Schuyler ,18330
Seneca ,35199
Steuben ,98930
Suffolk ,1494434
Sullivan,77500
Tioga,51049
Tompkins,101620
Ulster,182435
Warren,65697
Washington,63288
Wayne ,93753
Westchester ,950541
Wyoming ,42129
Yates ,25338
